Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Chi,Esito,Field Position,Casella di gruppo,Squadra,Piede
Palla recuperata (28),1:18:15.633,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,ricky,nic,digao,diego jr,Fuori,2,,,
Laterale (36),1:18:40.100,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,0,,Noi,
Tiro (42),1:18:43.866,0:00:07.000,04/01/2025,Tiro,giovi,erick,ricky,nic,digao,erick,Parata,4,,Noi,Sx
Angolo (8),1:19:01.533,0:00:08.000,04/01/2025,Angolo,giovi,erick,ricky,nic,digao,,,,,Noi,
Tiro (43),1:19:08.600,0:00:07.000,04/01/2025,Tiro,giovi,erick,ricky,nic,digao,erick,Ribattuto,5,,Noi,Sx
Palla persa (22),1:19:17.933,0:00:10.000,04/01/2025,Palla persa,giovi,erick,ricky,nic,digao,nic,Fuori,0,,,
Lancio (13),1:19:31.466,0:00:10.000,04/01/2025,Lancio,giovi,erick,ricky,nic,digao,,Intercetto,,,Loro,
Laterale (37),1:19:45.100,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,1,,Loro,
Palla recuperata (29),1:19:52.600,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,ricky,nic,digao,nic,Fuori,1,,,
Laterale (38),1:20:13.533,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,0,,Noi,
Palla persa (23),1:20:28.366,0:00:10.000,04/01/2025,Palla persa,giovi,erick,ricky,nic,digao,digao,,0,,,
Laterale (39),1:20:56.966,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,1,,Loro,
Tiro (44),1:21:04.333,0:00:07.000,04/01/2025,Tiro,giovi,erick,ricky,nic,digao,ricky,Ribattuto,9,,Loro,Dx
Laterale (40),1:21:32.533,0:00:07.000,04/01/2025,Laterale,giovi,deba,ricky,nic,digao,,,0,,Noi,
Laterale (41),1:22:12.966,0:00:07.000,04/01/2025,Laterale,giovi,deba,ricky,nic,digao,,,0,,Loro,
Palla recuperata (30),1:22:21.433,0:00:10.000,04/01/2025,Palla recuperata,giovi,deba,ricky,nic,digao,digao,Costruzione,0,,,
Palla persa (24),1:22:29.366,0:00:10.000,04/01/2025,Palla persa,giovi,deba,ricky,nic,digao,ricky,,0,,,
Lancio (14),1:22:44.366,0:00:10.000,04/01/2025,Lancio,giovi,deba,ricky,nic,digao,,Intercetto,,,Noi,
